ID,birthdate,marital_status,car_use,gender,kids_driving,parent,education,car_make,car_model,car_color,car_year,claim_freq,coverage_zone,claim_amt,household_income
29-2299574,9/20/1961,Single,Private,Male,1,Yes,Bachelors,Mercedes-Benz,400SEL,Turquoise,1993,0,Highly Rural,$98910.49,$216981.39
05-8323407,2/27/1996,Married,Private,Female,0,No,Bachelors,Infiniti,QX56,Green,2010,0,Highly Rural,$89351.03,$104959.26
74-2932016,11/20/1969,Divorced,Private,Male,1,Yes,High School,Nissan,Armada,Maroon,2011,0,Suburban,$55317.51,$114852.29
59-8125527,6/22/1995,Single,Private,Female,0,Yes,Bachelors,Mazda,B-Series,Mauv,1997,1,Rural,$87928.43,$64641.36
97-9415724,10/14/1968,Single,Private,Female,0,No,High School,Subaru,XT,Blue,1985,0,Highly Urban,$1626.65,$116877.78
79-8482952,11/26/1999,Seperated,Private,Male,0,No,Masters,GMC,Yukon,Teal,1999,4,Highly Urban,$85675.37,$163586.12
20-6594306,10/19/1962,Married,Private,Male,2,Yes,Masters,BMW,X6 M,Red,2012,0,Highly Urban,$8481.45,$94718.64
96-8977689,5/22/1968,Seperated,Private,Female,0,No,Bachelors,Infiniti,J,Turquoise,1996,1,Highly Urban,$80013.58,$163457.53
21-9977760,9/7/1992,Single,Private,Male,0,Yes,Bachelors,Chrysler,Sebring,Indigo,2008,3,Highly Urban,$56108.91,$228187.01
50-2303042,1/19/1953,Single,Private,Female,1,Yes,Bachelors,Dodge,Ram 2500,Blue,1995,1,Urban,$38040.05,$120126.33
47-7980223,11/30/1967,Married,Private,Male,0,Yes,PhD,Lincoln,Town Car,Aquamarine,2009,0,Rural,$69059.56,$131388.40
03-2081437,12/22/1959,Divorced,Private,Male,0,No,Bachelors,Ford,Explorer,Puce,2012,0,Rural,$50218.95,$144165.91
69-2560141,3/5/1969,Single,Private,Female,0,No,Masters,Suzuki,Kizashi,Crimson,2011,0,Suburban,$78502.86,$194078.44
54-7703940,10/20/1993,Single,Private,Female,0,No,PhD,Dodge,Neon,Violet,2003,0,Rural,$75618.19,$177891.12
74-3648526,3/18/1983,Divorced,Private,Male,0,No,Bachelors,Honda,Civic,Maroon,1985,0,Rural,$14086.21,$194822.82
25-0894132,5/6/1973,Single,Private,Female,0,No,High School,Volvo,S40,Teal,2003,0,Urban,$22798.82,$149154.80
78-9369459,6/13/1956,Divorced,Commercial,Male,1,Yes,Bachelors,Volkswagen,Touareg,Mauv,2006,0,Rural,$50918.39,$154521.02
20-2703434,10/22/1957,Single,Private,Female,0,No,Bachelors,MINI,Cooper Clubman,Aquamarine,2008,0,Highly Urban,$40630.94,$218196.99
90-5389412,7/6/1996,Married,Private,Male,0,No,High School,Mazda,Miata MX-5,Red,2005,0,Suburban,$55413.63,$132830.33
75-0142287,9/7/1979,Married,Commercial,Female,0,Yes,Bachelors,Nissan,Armada,Aquamarine,2010,0,Highly Rural,$85576.03,$125561.02
70-1492003,4/23/1963,Single,Commercial,Male,0,No,Bachelors,Lexus,SC,Blue,2003,0,Highly Urban,$40015.51,$242059.51
24-2319024,12/31/1971,Married,Commercial,Female,2,Yes,High School,Dodge,Ram 1500,Crimson,1997,0,Highly Rural,$82545.57,$239832.59
88-3789143,5/21/1972,Married,Private,Male,1,Yes,High School,Toyota,Tacoma,Violet,2005,0,Suburban,$58293.76,$210757.52
00-8765549,2/9/1974,Divorced,Private,Male,1,Yes,PhD,Kia,Sorento,Teal,2006,0,Highly Urban,$53939.37,$205338.44
95-8791390,9/15/1963,Single,Commercial,Male,0,No,PhD,Audi,A4,Goldenrod,1998,0,Highly Urban,$21748.51,$191433.02
20-1597546,10/9/1952,Married,Private,Male,0,Yes,Bachelors,Subaru,Tribeca,Mauv,2010,4,Suburban,$85990.90,$238176.37
01-3781782,1/3/1978,Divorced,Private,Male,0,No,Masters,Pontiac,Grand Prix,Crimson,1973,0,Highly Urban,$42384.65,$117157.31
46-9919633,12/14/1956,Divorced,Private,Female,1,Yes,High School,Ford,Th!nk,Maroon,2000,0,Urban,$91374.39,$163076.46
79-2933230,5/8/2002,Married,Commercial,Female,0,No,Bachelors,Ford,F150,Puce,1992,0,Rural,$60917.66,$146380.98
48-6444494,1/6/1972,Married,Private,Male,0,No,Masters,Suzuki,Daewoo Lacetti,Pink,2008,0,Rural,$38955.95,$142858.11
42-3290497,11/4/1961,Single,Private,Female,0,No,High School,Pontiac,Grand Prix,Purple,1979,0,Highly Urban,$48807.85,$111897.51
00-8626142,10/31/1984,Single,Private,Female,1,Yes,Bachelors,Porsche,Panamera,Puce,2013,0,Suburban,$48765.23,$195857.79
62-3981378,6/5/1995,Married,Private,Female,0,Yes,PhD,Volkswagen,Jetta,Mauv,1993,0,Highly Urban,$73531.10,$61728.18
84-5480563,9/25/1986,Married,Private,Female,0,No,High School,Bentley,Azure,Maroon,2010,1,Rural,$25381.22,$142053.22
81-6164224,1/21/1984,Married,Private,Male,0,No,High School,Ford,F350,Khaki,2001,0,Suburban,$57767.64,$105912.40
88-8881399,3/4/1976,Single,Private,Female,0,No,High School,Oldsmobile,Aurora,Yellow,1998,0,Suburban,$46371.00,$226432.65
86-9665482,10/5/1995,Married,Commercial,Female,2,Yes,Bachelors,Chrysler,Sebring,Blue,2000,0,Rural,$21250.98,$103099.38
58-3821611,4/20/1999,Seperated,Commercial,Female,0,No,Bachelors,GMC,Acadia,Blue,2008,0,Highly Rural,$53217.39,$220411.99
33-1623967,1/3/1993,Divorced,Private,Female,0,No,Bachelors,Chevrolet,Sportvan G20,Teal,1995,1,Suburban,$40150.63,$174697.28
99-3021402,12/29/1986,Single,Commercial,Female,0,Yes,High School,Saab,900,Puce,1988,1,Suburban,$21028.78,$217775.03
80-0062668,10/31/1959,Seperated,Commercial,Female,1,Yes,Bachelors,Ford,Bronco,Khaki,1991,0,Highly Rural,$68371.88,$229290.22
01-0418859,5/17/1977,Married,Private,Female,0,No,Bachelors,Nissan,Maxima,Khaki,2006,1,Highly Urban,$67616.86,$62567.68
10-7664868,4/16/1971,Divorced,Private,Male,0,No,Masters,Infiniti,G,Khaki,2004,0,Highly Urban,$75215.69,$141919.07
21-7249386,7/31/1958,Married,Private,Male,0,No,Bachelors,Merkur,XR4Ti,Maroon,1985,0,Highly Rural,$14894.55,$152847.76
29-7484174,3/29/1963,Married,Private,Male,0,No,Bachelors,Jeep,Wrangler,Green,2000,0,Highly Urban,$5301.70,$95947.65
28-7945664,5/14/1982,Married,Private,Male,0,No,Bachelors,BMW,760,Pink,2006,0,Urban,$46809.80,$73016.28
97-8570130,2/3/1975,Single,Commercial,Male,0,Yes,Bachelors,Toyota,Prius Plug-in Hybrid,Orange,2012,0,Rural,$54576.70,$133433.33
74-0962169,12/7/2000,Divorced,Private,Male,0,Yes,High School,Pontiac,6000,Crimson,1987,0,Urban,$35791.96,$184845.12
26-9542156,7/24/1986,Married,Commercial,Female,0,No,Bachelors,Kia,Sephia,Purple,1997,0,Highly Urban,$28493.99,$215904.63
42-4896598,12/31/1985,Married,Private,Female,0,No,PhD,Austin,Mini,Maroon,1959,0,Rural,$26391.99,$223405.83
05-3024730,8/8/1985,Married,Private,Female,0,No,Bachelors,Honda,CR-V,Yellow,2001,0,Highly Rural,$11775.18,$53750.78
65-1561340,5/5/1987,Divorced,Private,Male,0,No,High School,Ford,Taurus,Aquamarine,1990,0,Urban,$80481.74,$208433.36
08-7221886,4/3/1955,Married,Private,Female,1,Yes,PhD,Chevrolet,Corvette,Goldenrod,1972,0,Highly Urban,$89307.66,$111500.55
21-4564546,4/25/1975,Single,Private,Male,1,Yes,High School,Chevrolet,Express 2500,Khaki,2007,1,Urban,$68540.17,$69790.74
86-2330520,6/23/1993,Single,Private,Female,2,Yes,Bachelors,Infiniti,M,Indigo,1992,0,Rural,$5996.43,$191909.78
71-4329686,10/8/1969,Divorced,Private,Female,0,No,Bachelors,Acura,RSX,Yellow,2005,1,Suburban,$88754.95,$135235.85
22-8387348,8/26/1971,Single,Private,Female,1,Yes,PhD,Chrysler,Town & Country,Blue,2011,1,Highly Rural,$33083.08,$215922.55
39-5666068,5/26/1995,Seperated,Private,Female,0,No,Bachelors,Chevrolet,G-Series G30,Pink,1994,0,Suburban,$29386.14,$155971.24
71-9633722,4/28/1999,Divorced,Private,Female,1,Yes,High School,Pontiac,Grand Am,Khaki,2000,1,Suburban,$36157.54,$197737.54
08-3773717,9/16/1986,Married,Private,Male,0,No,Masters,Chevrolet,Aveo,Yellow,2004,0,Urban,$71781.16,$223481.37
21-1967347,5/20/1998,Single,Private,Female,0,No,Bachelors,Honda,Civic,Aquamarine,2009,0,Urban,$76527.71,$150708.10
73-2731533,4/14/1989,Single,Private,Female,2,Yes,Bachelors,Ford,F-Series Super Duty,Puce,2007,0,Highly Urban,$48111.80,$212281.49
05-0887873,3/16/1961,Married,Private,Male,0,No,Masters,Buick,Rainier,Violet,2004,0,Rural,$81096.08,$135513.20
49-2192394,8/4/1966,Single,Private,Female,1,Yes,Bachelors,Hummer,H2 SUT,Turquoise,2006,0,Suburban,$12310.86,$118547.70
30-0687649,10/27/1992,Married,Private,Female,0,No,Bachelors,Toyota,MR2,Khaki,1993,0,Rural,$71351.98,$156858.90
06-3998175,5/10/1950,Single,Commercial,Male,0,Yes,Bachelors,Mazda,Protege,Crimson,1996,0,Rural,$3631.71,$185020.78
42-5996331,4/23/1971,Married,Commercial,Female,0,Yes,Masters,Chevrolet,Suburban,Crimson,2007,4,Highly Urban,$62478.63,$168480.28
38-3983836,6/15/1961,Married,Private,Male,1,Yes,Bachelors,GMC,Envoy,Yellow,1998,1,Rural,$8499.24,$203535.92
53-5719947,11/23/1982,Married,Private,Male,0,No,Bachelors,Honda,Odyssey,Goldenrod,2001,0,Highly Urban,$7643.49,$45536.79
79-5216321,9/13/1970,Single,Private,Male,0,No,High School,GMC,Sierra 1500,Violet,2000,1,Urban,$90173.07,$94395.45
56-3549865,9/19/1975,Single,Private,Female,0,No,PhD,Lamborghini,Countach,Turquoise,1989,4,Rural,$21365.22,$106756.85
65-0653699,9/27/1983,Single,Commercial,Female,0,No,High School,Chevrolet,Express 1500,Green,2006,0,Highly Urban,$2478.26,$173131.99
80-6517194,1/4/1966,Single,Private,Female,0,No,Bachelors,Ford,Escape,Indigo,2003,0,Highly Urban,$94361.20,$242199.87
66-3589018,4/24/1967,Single,Commercial,Female,0,Yes,Bachelors,Volkswagen,Touareg,Green,2009,0,Urban,$10391.18,$93918.59
93-5612265,5/14/2000,Married,Private,Female,0,Yes,Masters,Honda,Odyssey,Pink,2002,0,Urban,$56139.33,$218705.78
17-2637983,4/6/1982,Single,Private,Male,0,No,Bachelors,Honda,Prelude,Indigo,1986,0,Highly Rural,$20058.72,$125970.65
52-9344960,2/8/1957,Single,Private,Female,0,No,High School,Volkswagen,GTI,Green,2000,0,Urban,$35179.17,$63045.41
62-5884690,10/13/1977,Single,Private,Male,0,No,Masters,Chevrolet,Suburban 1500,Teal,1997,0,Urban,$36383.26,$227952.39
55-2135063,5/9/1955,Married,Private,Male,0,No,Masters,GMC,Safari,Blue,2001,0,Highly Rural,$64238.29,$225759.37
96-0367961,12/7/1995,Married,Private,Female,0,No,Bachelors,Pontiac,Firebird Formula,Turquoise,1999,0,Suburban,$30102.61,$87875.92
21-4999402,9/10/1969,Single,Private,Female,1,Yes,Masters,Mitsubishi,Endeavor,Turquoise,2010,0,Suburban,$91964.27,$219452.81
47-2276122,12/10/1952,Married,Commercial,Female,0,Yes,PhD,Audi,R8,Fuscia,2010,0,Highly Rural,$3099.44,$48877.65
91-1758960,9/14/1973,Single,Commercial,Male,0,Yes,High School,Mercury,Lynx,Crimson,1987,4,Suburban,$48492.53,$183633.10
47-5108887,1/9/1967,Married,Private,Female,0,No,Masters,Volkswagen,Touareg 2,Fuscia,2009,0,Suburban,$54811.60,$80159.34
58-5963267,7/10/1962,Single,Private,Female,0,Yes,Bachelors,Lexus,LX,Indigo,1999,0,Urban,$23506.63,$93385.30
37-2463960,10/24/1992,Married,Private,Female,0,Yes,PhD,GMC,Vandura G3500,Green,1996,0,Rural,$27889.69,$189330.45
06-0002067,9/10/1986,Married,Private,Female,0,No,Bachelors,Hummer,H1,Crimson,2003,1,Highly Urban,$39821.35,$196558.69
02-9987842,10/28/1956,Married,Private,Female,1,Yes,Bachelors,Cadillac,CTS,Goldenrod,2007,0,Urban,$62646.16,$110676.62
07-4811503,8/4/1977,Married,Commercial,Male,0,Yes,Bachelors,Suzuki,Verona,Indigo,2006,1,Highly Rural,$25805.00,$143073.59
53-8246171,5/21/1974,Single,Private,Female,0,Yes,Bachelors,Cadillac,SRX,Goldenrod,2008,0,Suburban,$9987.01,$226974.65
90-1363663,10/6/1953,Single,Private,Male,1,Yes,Bachelors,Isuzu,Ascender,Maroon,2008,0,Rural,$3682.58,$214427.40
16-9063217,5/11/1990,Divorced,Private,Male,0,Yes,Masters,Acura,RL,Goldenrod,1999,0,Highly Urban,$91200.47,$119946.53
34-8014024,12/9/1977,Married,Commercial,Female,0,No,Masters,Audi,RS6,Khaki,2003,0,Highly Urban,$78477.75,$157075.92
10-4507117,4/15/1957,Single,Commercial,Female,2,Yes,PhD,Acura,Legend,Green,1992,0,Highly Rural,$37625.65,$167510.45
79-2269795,1/19/1989,Single,Private,Female,0,No,Bachelors,Chevrolet,Cavalier,Pink,1992,1,Rural,$96063.64,$183195.37
41-7624804,12/19/1972,Married,Commercial,Female,0,Yes,High School,Porsche,911,Yellow,1986,0,Suburban,$59372.18,$73525.97
15-3028675,7/4/1957,Single,Commercial,Female,0,No,Bachelors,Chevrolet,S10,Teal,1997,0,Urban,$25255.91,$210702.79
89-3277871,10/9/1984,Married,Private,Male,0,No,Bachelors,Dodge,Ram Van 2500,Green,2000,0,Highly Urban,$79827.31,$51471.68
47-5759847,3/1/1964,Married,Private,Female,1,Yes,Bachelors,Ford,F-Series,Red,1992,0,Rural,$15783.95,$152690.09
34-0254235,3/4/1995,Single,Private,Female,0,No,PhD,Volkswagen,Passat,Pink,2006,3,Highly Urban,$12722.45,$130459.94
58-3428299,3/19/1967,Single,Private,Female,3,Yes,Bachelors,Mazda,MPV,Indigo,1993,0,Urban,$38529.92,$188653.32
73-5806553,7/13/1956,Single,Private,Male,0,No,Bachelors,Toyota,MR2,Goldenrod,1995,0,Urban,$5066.75,$184453.91
63-1619621,6/19/1990,Divorced,Private,Female,2,Yes,Bachelors,Audi,A4,Aquamarine,2005,0,Highly Urban,$30944.26,$53717.64
14-1323636,2/7/1966,Single,Private,Male,2,Yes,Masters,Ford,Thunderbird,Turquoise,1980,0,Rural,$48953.02,$102078.14
78-7919993,12/6/1959,Single,Private,Female,0,No,Bachelors,Chevrolet,Impala,Blue,2001,0,Highly Rural,$80038.94,$236235.67
35-8924110,10/11/1999,Married,Private,Female,0,No,High School,Mitsubishi,Outlander,Fuscia,2007,0,Urban,$60470.98,$239736.80
89-8409583,10/27/1997,Single,Private,Male,0,Yes,Bachelors,Mercedes-Benz,C-Class,Indigo,1999,0,Rural,$43355.64,$127580.56
93-9403068,3/16/1950,Single,Private,Female,0,No,PhD,Volvo,C70,Goldenrod,2009,0,Urban,$98572.93,$197103.50
19-0252453,9/14/1986,Single,Private,Female,0,No,Bachelors,Ford,E150,Teal,2005,1,Suburban,$14619.58,$209034.10
26-2686229,9/24/1985,Divorced,Private,Female,1,Yes,Bachelors,BMW,M3,Green,1995,4,Rural,$77334.02,$116978.32
00-1215214,6/24/1998,Single,Private,Female,0,No,Bachelors,Dodge,Ram Van 1500,Blue,1997,1,Rural,$42285.88,$126388.66
50-9545492,4/18/1957,Married,Private,Female,0,No,Bachelors,Chevrolet,Suburban,Green,2007,1,Suburban,$24683.62,$244848.18
84-3094997,4/15/1967,Divorced,Commercial,Female,0,No,Masters,Pontiac,Parisienne,Fuscia,1985,0,Suburban,$52271.30,$198531.05
02-9500879,3/26/1967,Single,Commercial,Male,0,No,Bachelors,Honda,S2000,Crimson,2001,0,Suburban,$98336.96,$107728.41
68-7311194,1/20/1958,Married,Private,Female,0,No,High School,Lincoln,Town Car,Purple,2005,0,Highly Rural,$61453.13,$106560.43
37-2829117,12/12/1968,Single,Private,Male,1,Yes,Masters,Suzuki,Daewoo Lacetti,Maroon,2007,0,Highly Rural,$21427.85,$162076.48
72-4016124,4/12/1974,Married,Private,Male,2,Yes,Bachelors,Mazda,MX-6,Aquamarine,1993,0,Rural,$45808.99,$238374.96
99-9471653,2/10/1954,Single,Private,Female,0,No,Bachelors,Mercedes-Benz,M-Class,Violet,2006,1,Highly Urban,$84708.94,$181630.44
59-3779694,6/4/1951,Single,Private,Female,1,Yes,Bachelors,Saturn,Outlook,Violet,2007,0,Urban,$41867.87,$50364.67
21-0175912,2/11/1950,Married,Private,Male,0,Yes,Bachelors,BMW,5 Series,Purple,2000,0,Suburban,$5954.41,$246416.49
63-8140966,3/14/1985,Married,Commercial,Female,0,No,PhD,Lotus,Elan,Puce,1991,0,Urban,$96167.42,$186155.45
81-0411775,6/2/1968,Single,Private,Male,3,Yes,Bachelors,Mitsubishi,Truck,Violet,1991,1,Highly Rural,$72005.13,$168225.91
35-6718958,3/19/1983,Married,Commercial,Female,0,No,Bachelors,Chevrolet,Sportvan G30,Orange,1992,4,Urban,$18239.50,$238370.27
84-4581424,1/3/1992,Seperated,Private,Male,0,Yes,High School,Oldsmobile,Bravada,Fuscia,1998,1,Highly Urban,$29273.01,$131956.25
99-3198265,11/15/1955,Married,Private,Female,0,No,Bachelors,Lexus,LX,Blue,2009,0,Urban,$36759.06,$162617.10
78-5628896,11/18/1969,Single,Private,Female,0,No,Bachelors,Mitsubishi,Endeavor,Violet,2007,0,Highly Urban,$99731.69,$206923.05
91-7202277,11/9/1984,Married,Private,Female,0,No,Masters,Audi,Coupe Quattro,Puce,1990,4,Suburban,$29264.41,$106989.00
68-0906730,5/30/1978,Married,Private,Female,0,No,High School,Hyundai,Accent,Puce,2002,0,Suburban,$66345.44,$71890.18
06-8943846,11/28/1989,Single,Private,Male,0,No,Bachelors,Lincoln,Town Car,Maroon,1992,2,Rural,$81445.09,$184214.23
98-3908462,2/18/1963,Married,Private,Male,0,No,Bachelors,Rolls-Royce,Phantom,Orange,2012,0,Suburban,$94681.46,$134457.76
77-0678689,12/25/1951,Married,Commercial,Female,0,No,High School,Jeep,Grand Cherokee,Blue,1994,0,Highly Urban,$20973.37,$64177.87
84-1572508,7/26/1987,Married,Commercial,Female,0,No,PhD,Cadillac,DeVille,Orange,2005,0,Highly Urban,$64432.86,$153079.73
29-9283307,7/25/1956,Married,Private,Female,0,No,High School,Nissan,Xterra,Orange,2006,0,Rural,$22164.32,$126623.35
74-5316837,9/20/1953,Single,Private,Male,1,Yes,High School,Lexus,IS,Maroon,2008,0,Urban,$38108.81,$242917.21
23-7014709,8/23/1986,Single,Private,Male,0,Yes,Bachelors,Chevrolet,Camaro,Purple,2010,0,Highly Rural,$70848.22,$57041.31
98-4819987,3/27/1955,Single,Private,Female,0,No,Bachelors,Pontiac,Grand Prix,Teal,1996,1,Highly Urban,$30635.75,$122933.34
87-8525163,7/3/1984,Divorced,Private,Female,1,Yes,PhD,Scion,xB,Pink,2010,0,Rural,$69396.43,$69552.77
00-6309370,6/14/2000,Divorced,Private,Male,0,Yes,Bachelors,BMW,325,Khaki,2006,1,Rural,$8256.52,$192810.53
26-9548721,8/3/1976,Single,Commercial,Male,0,Yes,Bachelors,Chrysler,Voyager,Goldenrod,2000,0,Rural,$10210.57,$60856.69
46-8518464,9/17/1995,Single,Private,Female,1,Yes,Bachelors,Audi,A4,Red,2000,0,Highly Rural,$668.74,$122069.35
81-4597310,4/5/1981,Single,Private,Female,0,Yes,High School,BMW,760,Green,2005,4,Highly Rural,$54195.27,$103018.10
23-9689484,4/15/1978,Single,Private,Female,0,No,Masters,BMW,6 Series,Puce,2008,0,Urban,$40147.44,$62130.87
07-1702979,9/16/1968,Divorced,Private,Male,0,No,Bachelors,Ford,E350,Fuscia,2011,0,Rural,$21063.09,$100456.29
87-7394477,4/16/1957,Single,Private,Male,0,No,Masters,Mercury,Mariner,Orange,2006,0,Suburban,$62336.20,$212387.72
41-8551991,2/17/1998,Single,Private,Male,0,No,Masters,Volkswagen,Eos,Red,2007,0,Rural,$88957.82,$238856.29
67-8541349,4/19/1976,Single,Private,Female,0,No,Bachelors,Nissan,Sentra,Violet,1991,1,Urban,$52050.97,$126812.77
23-0011296,3/26/1989,Single,Commercial,Male,3,Yes,Bachelors,Chevrolet,Blazer,Teal,2004,0,Rural,$73755.66,$239190.80
09-5929426,6/25/2001,Married,Private,Male,0,No,High School,Lincoln,Navigator L,Violet,2010,0,Urban,$78551.35,$243004.77
09-7617692,12/7/1997,Single,Private,Male,0,No,Bachelors,Oldsmobile,Cutlass Supreme,Purple,1995,0,Rural,$49766.66,$112802.40
20-3163388,9/11/1983,Married,Private,Male,0,No,High School,Daewoo,Nubira,Crimson,2000,0,Highly Urban,$39213.46,$160218.45
93-8685866,6/27/1987,Married,Private,Female,0,Yes,Masters,Audi,90,Fuscia,1991,0,Highly Rural,$42666.94,$162880.06
86-7282331,5/23/1976,Single,Private,Female,0,No,Masters,Lincoln,Town Car,Teal,1993,2,Suburban,$95302.66,$191107.28
15-7027428,11/29/1994,Single,Private,Female,0,No,Bachelors,GMC,Savana 2500,Turquoise,1996,0,Urban,$78902.24,$185581.49
61-3193528,11/25/1984,Married,Private,Male,1,Yes,Bachelors,Mercedes-Benz,300E,Green,1992,0,Highly Rural,$95368.78,$132741.23
58-5779062,11/28/1954,Seperated,Private,Male,1,Yes,Bachelors,Pontiac,6000,Blue,1986,1,Suburban,$90988.47,$238273.59
96-7673068,10/27/1953,Seperated,Private,Male,0,No,Masters,Mercedes-Benz,500SEL,Crimson,1993,0,Suburban,$86046.62,$121530.66
27-2011605,2/9/1989,Single,Private,Male,0,No,PhD,Audi,4000s Quattro,Mauv,1986,0,Highly Rural,$91585.54,$134482.93
09-0319854,3/31/1972,Single,Commercial,Male,0,No,PhD,Audi,S6,Blue,2010,1,Rural,$13684.39,$93040.07
74-1515565,5/29/1974,Single,Private,Female,0,No,Masters,Saab,9000,Khaki,1991,1,Rural,$57035.00,$192411.36
71-1495443,9/10/1985,Single,Private,Female,0,No,High School,Jeep,Liberty,Red,2004,0,Urban,$25430.86,$109662.96
65-4039915,4/6/1958,Single,Private,Female,0,Yes,High School,GMC,Yukon XL 2500,Khaki,2013,0,Urban,$87235.11,$74158.96
12-7448018,3/18/1969,Single,Commercial,Female,0,No,Bachelors,Saab,900,Green,1995,0,Urban,$13724.90,$205644.37
10-5941066,12/20/1995,Single,Private,Female,0,No,High School,Buick,Park Avenue,Pink,1991,0,Urban,$32737.97,$185585.06
38-4117576,7/18/1984,Seperated,Private,Female,0,No,High School,Mercury,Cougar,Fuscia,2001,0,Highly Rural,$14955.32,$141243.65
10-3552552,8/31/1972,Married,Commercial,Female,0,No,High School,Honda,CR-Z,Purple,2011,0,Urban,$37521.40,$112119.37
77-6387804,10/23/1957,Single,Private,Female,0,No,Bachelors,Subaru,Legacy,Khaki,1992,0,Urban,$31522.32,$197416.40
58-1313551,9/4/1971,Divorced,Private,Female,1,Yes,High School,Cadillac,Escalade EXT,Goldenrod,2007,0,Suburban,$13373.94,$104034.19
40-1149554,12/19/1987,Single,Private,Male,0,Yes,Bachelors,GMC,1500 Club Coupe,Puce,1992,0,Suburban,$16412.04,$206834.78
78-3174033,9/4/1999,Married,Commercial,Male,0,No,Bachelors,Lexus,LX,Aquamarine,2004,0,Urban,$20791.19,$185712.88
26-8509042,8/1/1959,Divorced,Private,Male,1,Yes,PhD,Ford,Mustang,Violet,1965,0,Suburban,$35005.72,$193538.37
91-6888779,10/17/1995,Single,Commercial,Male,0,No,PhD,Isuzu,Hombre Space,Yellow,1998,0,Highly Urban,$24677.06,$215450.86
93-9513652,7/12/1979,Single,Private,Female,2,Yes,Bachelors,GMC,Suburban 1500,Goldenrod,1993,0,Urban,$28256.56,$186597.48
00-0684518,1/14/1998,Married,Private,Male,0,No,Bachelors,Chevrolet,Corvette,Puce,2002,0,Urban,$12497.05,$89921.01
66-5078703,10/2/1960,Single,Private,Male,0,No,High School,Mazda,B-Series Plus,Maroon,1997,0,Highly Urban,$46539.93,$108167.03
80-3445937,3/20/2001,Single,Private,Female,0,No,High School,Ford,Taurus,Orange,2003,0,Urban,$50840.00,$101933.81
34-3044664,2/20/1983,Single,Private,Female,1,Yes,High School,Chevrolet,LUV,Aquamarine,1979,0,Highly Rural,$74997.13,$65062.16
92-8406332,8/30/1986,Divorced,Private,Male,0,No,Masters,Chrysler,Pacifica,Indigo,2006,0,Highly Urban,$29634.80,$51951.43
